kode;operator;kategori;betegnelse;imei;abo_type;gyldig_fra;gyldig_til;merknad
TEMB100GB;Telia;mbb;MBB 100GB nytegning og oppgradering med 12mnd binding;JA;;;;
TEMB10GB;Telia;mbb;MBB 10GB nytegning og oppgradering med 12mnd binding;JA;;;;
TEMB250GB;Telia;mbb;MBB 250GB nytegning og oppgradering med 12mnd binding;JA;;;;
TEMB25GB;Telia;mbb;MBB 25GB nytegning og oppgradering med 12mnd binding;JA;;;;
TEMB500GB;Telia;mbb;MBB 500GB nytegning og oppgradering med 12mnd binding;JA;;;;
TEMB50GB;Telia;mbb;MBB 50GB nytegning og oppgradering med 12mnd binding;JA;;;;
TEMBNY;Telia;mbb;MBB nytegning uten binding på 10GB;NEI;;;;
TEMBNY1;Telia;mbb;MBB nytegning uten binding på 25 og 50 GB;NEI;;;;
TEMBNY2;Telia;mbb;MBB nytegning uten binding på 100, 250 og 500 GB;NEI;;;;
TE10GBTILEKS;Telia;tilbehorsbinding;TELIA 10GB TILBEHØRSBINDING, EKSISTERENDE;;B;2023-03-17 00:00:00;;
TE10GBTILNY;Telia;tilbehorsbinding;TELIA 10GB TILBEHØRSBINDING, NY;;B;2023-03-17 00:00:00;;
TE5GBTILEKS;Telia;tilbehorsbinding;TELIA 5GB TILBEHØRSBINDING, EKSISTERENDE;;B;2022-11-14 00:00:00;;
TE5GBTILNY;Telia;tilbehorsbinding;TELIA 5GB TILBEHØRSBINDING, NY;;B;2022-11-14 00:00:00;;
TEJR1GBTILEKS;Telia;tilbehorsbinding;TELIA JUNIOR 1GB TILBEHØRSBINDING, EKSISTERENDE;;C;2023-03-17 00:00:00;;
TEJR1GBTILNY;Telia;tilbehorsbinding;TELIA JUNIOR 1GB TILBEHØRSBINDING, NY;;C;2023-03-17 00:00:00;;
TEJR5GBTILEKS;Telia;tilbehorsbinding;TELIA JUNIOR 5GB TILBEHØRSBINDING, EKSISTERENDE;;C;2023-03-17 00:00:00;;
TEJR5GBTILNY;Telia;tilbehorsbinding;TELIA JUNIOR 5GB TILBEHØRSBINDING, NY;;C;2023-03-17 00:00:00;;
TEXBASTILEKS;Telia;tilbehorsbinding;TELIA X BASIS TILBEHØRSBINDING, EKSISTERENDE;;B;2023-03-17 00:00:00;;
TEXBASTILNY;Telia;tilbehorsbinding;TELIA X BAS TILBEHØRSBINDING, NY;;A;2023-03-17 00:00:00;;
TEXMAXPTILEKS;Telia;tilbehorsbinding;TELIA X MAX PLUSS TILBEHØRSBINDING, EKSISTERENDE;;B;2023-03-17 00:00:00;;
TEXMAXPTILNY;Telia;tilbehorsbinding;TELIA X MAX PLUSS TILBEHØRSBINDING, NY;;A;2023-03-17 00:00:00;;
TEXMAXTILEKS;Telia;tilbehorsbinding;TELIA X MAX TILBEHØRSBINDING, EKSISTERENDE;;B;2023-03-17 00:00:00;;
